epoch,loss
1,3.8129642009735107
2,3.8108069896698
3,3.8091862201690674
4,3.80767822265625
5,3.8061230182647705
6,3.8047077655792236
7,3.8032608032226562
8,3.801764488220215
9,3.800287961959839
10,3.798833131790161
11,3.7973461151123047
12,3.795893907546997
13,3.7943904399871826
14,3.7928779125213623
15,3.791407823562622
16,3.7900235652923584
17,3.788402795791626
18,3.7869491577148438
19,3.785449266433716
20,3.783973455429077
21,3.782392740249634
22,3.7809360027313232
23,3.7794158458709717
24,3.7779228687286377
25,3.776285171508789
26,3.7747886180877686
27,3.7732248306274414
28,3.7716970443725586
29,3.77001690864563
30,3.76849102973938
31,3.7668092250823975
32,3.76526141166687
33,3.763620615005493
34,3.761932373046875
35,3.760197639465332
36,3.7584903240203857
37,3.7569446563720703
38,3.755168914794922
39,3.7534255981445312
40,3.751667022705078
41,3.7498748302459717
42,3.7481091022491455
43,3.7462947368621826
44,3.74446964263916
45,3.7426462173461914
46,3.7407634258270264
47,3.7388880252838135
48,3.7369041442871094
49,3.7350246906280518
50,3.733114242553711
51,3.731081008911133
52,3.7291066646575928
53,3.7269954681396484
54,3.725057601928711
55,3.7229480743408203
56,3.7208058834075928
57,3.718644380569458
58,3.71651291847229
59,3.714388847351074
60,3.7120208740234375
61,3.7097787857055664
62,3.707578659057617
63,3.70513653755188
64,3.702934980392456
65,3.700484037399292
66,3.6980559825897217
67,3.695661783218384
68,3.693157196044922
69,3.6906464099884033
70,3.688171625137329
71,3.6855621337890625
72,3.68286395072937
73,3.6802914142608643
74,3.6777098178863525
75,3.674941301345825
76,3.672116279602051
77,3.6693665981292725
78,3.6664721965789795
79,3.6636602878570557
80,3.660806655883789
81,3.657841444015503
82,3.6548080444335938
83,3.6518325805664062
84,3.6487786769866943
85,3.6456329822540283
86,3.642665147781372
87,3.6394221782684326
88,3.6362476348876953
89,3.6329448223114014
90,3.629793405532837
91,3.6264536380767822
92,3.6230695247650146
93,3.6197917461395264
94,3.6162989139556885
95,3.6129016876220703
96,3.60935378074646
97,3.6057329177856445
98,3.6022443771362305
99,3.598740816116333
100,3.5950944423675537
