epoch,loss
1,3.812589168548584
2,3.8060734272003174
3,3.8012406826019287
4,3.7962934970855713
5,3.7915303707122803
6,3.7869248390197754
7,3.7822258472442627
8,3.7773354053497314
9,3.772503137588501
10,3.7676308155059814
11,3.762700080871582
12,3.7575368881225586
13,3.7521286010742188
14,3.746889591217041
15,3.7415051460266113
16,3.73581600189209
17,3.730233907699585
18,3.7243528366088867
19,3.718240261077881
20,3.7119998931884766
21,3.7058417797088623
22,3.699305295944214
23,3.693089723587036
24,3.686593770980835
25,3.679476261138916
26,3.672811985015869
27,3.6656577587127686
28,3.6584882736206055
29,3.6508169174194336
30,3.6436545848846436
31,3.6358344554901123
32,3.628227472305298
33,3.6202220916748047
34,3.612185001373291
35,3.603740692138672
36,3.5955910682678223
37,3.58715558052063
38,3.578467845916748
39,3.569408655166626
40,3.5601916313171387
41,3.5512290000915527
42,3.5418965816497803
43,3.5323426723480225
44,3.522779941558838
45,3.512979030609131
46,3.5026586055755615
47,3.4923346042633057
48,3.481637477874756
49,3.4712092876434326
50,3.4599900245666504
51,3.448878049850464
52,3.4376814365386963
53,3.426067590713501
54,3.414583921432495
55,3.4021146297454834
56,3.390192985534668
57,3.377544641494751
58,3.3651392459869385
59,3.3524773120880127
60,3.3398098945617676
61,3.326664924621582
62,3.3138158321380615
63,3.300659418106079
64,3.287484884262085
65,3.2736802101135254
66,3.2607462406158447
67,3.2468886375427246
68,3.233124017715454
69,3.219782590866089
70,3.2065811157226562
71,3.1924808025360107
72,3.178856134414673
73,3.1653597354888916
74,3.1517245769500732
75,3.1383681297302246
76,3.125030755996704
77,3.111623525619507
78,3.098027229309082
79,3.0852057933807373
80,3.0719993114471436
81,3.0597145557403564
82,3.0466084480285645
83,3.0341713428497314
84,3.0213260650634766
85,3.0091233253479004
86,2.9973158836364746
87,2.98465895652771
88,2.973102331161499
89,2.9610774517059326
90,2.9497992992401123
91,2.938282012939453
92,2.9272611141204834
93,2.9162516593933105
94,2.9051852226257324
95,2.8947770595550537
96,2.8846471309661865
97,2.874309539794922
98,2.864520788192749
99,2.854341506958008
100,2.8447325229644775
